pair_id,pr,re,f
pair_38,0,0,0
pair_380,0,0,0
pair_381,0,0,0
pair_382,0,0,0
pair_383,0,0,0
pair_384,0,0,0
pair_385,0,0,0
pair_386,0,0,0
pair_387,0.2,0.333333333,0.25
pair_388,0,0,0
pair_389,0,0,0
pair_39,0,0,0
pair_390,0,0,0
pair_391,0,0,0
pair_392,0,0,0
pair_393,0,0,0
pair_394,0,0,0
pair_395,0,0,0
pair_396,0,0,0
pair_397,0,0,0
pair_398,0.666666667,0.222222222,0.333333333
pair_399,0,0,0
pair_4,0,0,0
pair_40,0,0,0
pair_400,0,0,0
pair_401,0,0,0
pair_402,0,0,0
pair_403,0,0,0
pair_404,0,0,0
pair_405,0.2,0.333333333,0.25
pair_406,0,0,0
pair_407,0,0,0
pair_408,0,0,0
pair_409,0,0,0
pair_41,0,0,0
pair_410,0,0,0
pair_411,0.2,0.25,0.222222222
pair_412,0.2,0.2,0.2
pair_413,0,0,0
pair_414,0,0,0
pair_415,0,0,0
pair_416,0,0,0
pair_417,0,0,0
pair_418,0,0,0
pair_419,0,0,0
pair_42,0,0,0
pair_420,0,0,0
pair_421,0,0,0
pair_422,0.333333333,0.2,0.25
pair_423,0,0,0
pair_424,0,0,0
pair_425,0,0,0
pair_426,0,0,0
pair_427,0,0,0
pair_428,0,0,0
pair_429,0,0,0
pair_43,0,0,0
pair_430,1,0.5,0.666666667
pair_431,0,0,0
pair_432,0,0,0
pair_433,0,0,0
pair_434,0,0,0
pair_435,0,0,0
pair_436,0,0,0
pair_437,0,0,0
pair_438,0,0,0
pair_439,0.333333333,0.2,0.25
pair_44,0,0,0
pair_440,0,0,0
pair_441,0,0,0
pair_442,0.2,0.166666667,0.181818182
pair_443,0,0,0
pair_444,0,0,0
pair_445,0,0,0
pair_446,0,0,0
pair_447,0,0,0
pair_448,0,0,0
pair_449,0,0,0
pair_45,0,0,0
pair_450,0,0,0
pair_451,0,0,0
pair_452,0,0,0
pair_453,0,0,0
pair_454,0,0,0
pair_455,0,0,0
pair_456,0,0,0
pair_457,0,0,0
pair_458,0,0,0
pair_459,0,0,0
pair_46,0,0,0
pair_460,0,0,0
pair_461,0,0,0
pair_462,0,0,0
pair_463,0,0,0
pair_464,0,0,0
pair_465,0,0,0
pair_466,0,0,0
pair_467,0,0,0
pair_468,0,0,0
pair_469,0,0,0
pair_47,0,0,0
pair_470,0,0,0
pair_471,0,0,0
pair_472,0,0,0
pair_473,0.333333333,0.166666667,0.222222222
pair_474,0,0,0
pair_475,0,0,0
pair_476,0,0,0
pair_477,0,0,0
pair_478,0,0,0
pair_479,0,0,0
pair_48,0,0,0
pair_480,0,0,0
pair_481,0,0,0
pair_482,0,0,0
pair_483,0,0,0
pair_484,0,0,0
pair_485,0,0,0
pair_486,0,0,0
pair_487,0,0,0
pair_488,0,0,0
pair_489,0,0,0
